2024年8月20日現在のサイゼリヤグランドメニュー

num name kcal yen

1 小エビのサラダ 192 350
2 チキンのサラダ 224 350
3 わかめのサラダ 174 350 
4 グリーンサラダ 166 350
5 モッツァレラのサラダ 243 400
6 タラコソースシシリー風 553 500
7 パルマ風スパゲティ 753 400
8 ペンネアラビアータ 452 400
9 ペペロンチーノ 582 300
10 半熟卵のぺペロンチーノ 665 350 
11 ミートソースボロニア風 583 400
12 半熟卵のミートソースボロニア風 666 450
13 イカの墨入りセピアソース 603 500
14 小エビのタラコソース 594 540
15 スープ入り塩味ボンゴレ 872 500
16 カルボナーラ 799 500
17 全粒粉ペンネのアラビアータ 444 430
18 きのことほうれん草のクリームスパゲッティ 856 600
19 ミラノ風ドリア 521 300
20 半熟卵のミラノ風ドリア 604 350
21 焼チーズミラノ風ドリア 652 350
22 タラコとエビのドリア 578 400
23 エビとタラコのクリームグラタン 481 400
24 バッファローモッツァレラのマルゲリータピザ 544 400
25 ソーセージピザ 710 400
26 たっぷりコーンのピザ 624 400
27 野菜ときのこのピザ 593 400
28 ハンバーグステーキ 571 400
29 ディアボラ風ハンバーグ 618 500
30 イタリアンハンバーグ  670 500
31 ミックスグリル 779 650
32 若鶏のディアボラ風 673 500
33 柔らかチキンのチーズ焼き 725 500
34 ラムと野菜のグリル 371 870
35 爽やかにんじんサラダ 93 200
36 モッツァレラトマト 147 430
37 小エビのカクテル 126 280
38 蒸し鶏の香味ソース 192 280
39 生ハム 39 320
40 生ハムとモッツアレラの盛合わせ 146 500
41 柔らか青豆の温サラダ 199 200
42 ほうれん草のソテー 223 200
43 ポップコーンシュリンプ 234 300
44 カリッとポテト 389 280
45 チョリソー 425 400
46 辛味チキン 295 300
47 アロスティチーニ 224 400
48 エスカルゴのオーブン焼き 220 400
49 ムール貝のガーリック焼き 170 400
50 コーンクリームスープ 130 150
51 たまねぎのズッパ 228 300
52 田舎風ミネストローネ 227 300
53 ミニフィセル 189 150
54 ガーリックトースト 245 200
55 プチフォッカ 214 150
56 シナモンプチフォッカ 246 200 
57 ライス 303 150
58 ターメリックライス 424 200
59 ティラミス_クラシコ 229 300
60 プリンとティラミス＿クラシコの盛合せ 445 500
61 イタリアンプリン 216 250
62 イタリアンジェラート 121 250
63 ジェラート＆シナモンプチフォッカ 367 450
64 コーヒーゼリー＆イタリアンジェラート 165 350
65 チョコレートケーキ 166 300 
66 トリフアイスクリーム 164 350

